#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
               -1               1               1              HB  1.14158               1                   1   43100401
               -2               1               1              HB  1.14108               1                   1   43100801
               -3               1               1              HB  1.14022               1                   1   43100C01
               -4               1               1              HB  1.13989               1                   1   43101001
               -5               1               1              HB  1.13868               1                   1   43101401
               -6               1               1              HB  1.13826               1                   1   43101801
               -7               1               1              HB  1.13653               1                   1   43101C01
               -8               1               1              HB  1.13632               1                   1   43102001
               -9               1               1              HB  1.13617               1                   1   43102401
              -10               1               1              HB  1.13472               1                   1   43102801
              -11               1               1              HB  1.13421               1                   1   43102C01
              -12               1               1              HB  1.13407               1                   1   43103001
              -13               1               1              HB  1.13332               1                   1   43103401
              -14               1               1              HB  1.13091               1                   1   43103801
              -15               1               1              HB  1.13090               1                   1   43103C01
              -15               1               2              HB  1.13090               1                   1   43203C01
              -16               1               1              HB  1.13975               1                   1   43104001
              -16               1               2              HB  1.13975               1                   1   43204001
               -1               2               1              HB  1.14158               1                   1   43100402
               -2               2               1              HB  1.14108               1                   1   43100802
               -3               2               1              HB  1.14022               1                   1   43100C02
               -4               2               1              HB  1.13989               1                   1   43101002
               -5               2               1              HB  1.13868               1                   1   43101402
               -6               2               1              HB  1.13826               1                   1   43101802
               -7               2               1              HB  1.13653               1                   1   43101C02
               -8               2               1              HB  1.13632               1                   1   43102002
               -9               2               1              HB  1.13617               1                   1   43102402
              -10               2               1              HB  1.13472               1                   1   43102802
              -11               2               1              HB  1.13421               1                   1   43102C02
              -12               2               1              HB  1.13407               1                   1   43103002
              -13               2               1              HB  1.13332               1                   1   43103402
              -14               2               1              HB  1.13091               1                   1   43103802
              -15               2               1              HB  1.13090               1                   1   43103C02
              -15               2               2              HB  1.13090               1                   1   43203C02
              -16               2               1              HB  1.13975               1                   1   43104002
              -16               2               2              HB  1.13975               1                   1   43204002
               -1               3               1              HB  1.14158               1                   1   43100403
               -2               3               1              HB  1.14108               1                   1   43100803
               -3               3               1              HB  1.14022               1                   1   43100C03
               -4               3               1              HB  1.13989               1                   1   43101003
               -5               3               1              HB  1.13868               1                   1   43101403
               -6               3               1              HB  1.13826               1                   1   43101803
               -7               3               1              HB  1.13653               1                   1   43101C03
               -8               3               1              HB  1.13632               1                   1   43102003
               -9               3               1              HB  1.13617               1                   1   43102403
              -10               3               1              HB  1.13472               1                   1   43102803
              -11               3               1              HB  1.13421               1                   1   43102C03
              -12               3               1              HB  1.13407               1                   1   43103003
              -13               3               1              HB  1.13332               1                   1   43103403
              -14               3               1              HB  1.13091               1                   1   43103803
              -15               3               1              HB  1.13090               1                   1   43103C03
              -15               3               2              HB  1.13090               1                   1   43203C03
              -16               3               1              HB  1.13975               1                   1   43104003
              -16               3               2              HB  1.13975               1                   1   43204003
               -1               4               1              HB  1.14158               1                   1   43100404
               -2               4               1              HB  1.14108               1                   1   43100804
               -3               4               1              HB  1.14022               1                   1   43100C04
               -4               4               1              HB  1.13989               1                   1   43101004
               -5               4               1              HB  1.13868               1                   1   43101404
               -6               4               1              HB  1.13826               1                   1   43101804
               -7               4               1              HB  1.13653               1                   1   43101C04
               -8               4               1              HB  1.13632               1                   1   43102004
               -9               4               1              HB  1.13617               1                   1   43102404
              -10               4               1              HB  1.13472               1                   1   43102804
              -11               4               1              HB  1.13421               1                   1   43102C04
              -12               4               1              HB  1.13407               1                   1   43103004
              -13               4               1              HB  1.13332               1                   1   43103404
              -14               4               1              HB  1.13091               1                   1   43103804
              -15               4               1              HB  1.13090               1                   1   43103C04
              -15               4               2              HB  1.13090               1                   1   43203C04
              -16               4               1              HB  1.13975               1                   1   43104004
              -16               4               2              HB  1.13975               1                   1   43204004
               -1               5               1              HB  1.14158               1                   1   43100405
               -2               5               1              HB  1.14108               1                   1   43100805
               -3               5               1              HB  1.14022               1                   1   43100C05
               -4               5               1              HB  1.13989               1                   1   43101005
               -5               5               1              HB  1.13868               1                   1   43101405
               -6               5               1              HB  1.13826               1                   1   43101805
               -7               5               1              HB  1.13653               1                   1   43101C05
               -8               5               1              HB  1.13632               1                   1   43102005
               -9               5               1              HB  1.13617               1                   1   43102405
              -10               5               1              HB  1.13472               1                   1   43102805
              -11               5               1              HB  1.13421               1                   1   43102C05
              -12               5               1              HB  1.13407               1                   1   43103005
              -13               5               1              HB  1.13332               1                   1   43103405
              -14               5               1              HB  1.13091               1                   1   43103805
              -15               5               1              HB  1.13090               1                   1   43103C05
              -15               5               2              HB  1.13090               1                   1   43203C05
              -16               5               1              HB  1.13975               1                   1   43104005
              -16               5               2              HB  1.13975               1                   1   43204005
               -1               6               1              HB  1.14158               1                   1   43100406
               -2               6               1              HB  1.14108               1                   1   43100806
               -3               6               1              HB  1.14022               1                   1   43100C06
               -4               6               1              HB  1.13989               1                   1   43101006
               -5               6               1              HB  1.13868               1                   1   43101406
               -6               6               1              HB  1.13826               1                   1   43101806
               -7               6               1              HB  1.13653               1                   1   43101C06
               -8               6               1              HB  1.13632               1                   1   43102006
               -9               6               1              HB  1.13617               1                   1   43102406
              -10               6               1              HB  1.13472               1                   1   43102806
              -11               6               1              HB  1.13421               1                   1   43102C06
              -12               6               1              HB  1.13407               1                   1   43103006
              -13               6               1              HB  1.13332               1                   1   43103406
              -14               6               1              HB  1.13091               1                   1   43103806
              -15               6               1              HB  1.13090               1                   1   43103C06
              -15               6               2              HB  1.13090               1                   1   43203C06
              -16               6               1              HB  1.13975               1                   1   43104006
              -16               6               2              HB  1.13975               1                   1   43204006
               -1               7               1              HB  1.14158               1                   1   43100407
               -2               7               1              HB  1.14108               1                   1   43100807
               -3               7               1              HB  1.14022               1                   1   43100C07
               -4               7               1              HB  1.13989               1                   1   43101007
               -5               7               1              HB  1.13868               1                   1   43101407
               -6               7               1              HB  1.13826               1                   1   43101807
               -7               7               1              HB  1.13653               1                   1   43101C07
               -8               7               1              HB  1.13632               1                   1   43102007
               -9               7               1              HB  1.13617               1                   1   43102407
              -10               7               1              HB  1.13472               1                   1   43102807
              -11               7               1              HB  1.13421               1                   1   43102C07
              -12               7               1              HB  1.13407               1                   1   43103007
              -13               7               1              HB  1.13332               1                   1   43103407
              -14               7               1              HB  1.13091               1                   1   43103807
              -15               7               1              HB  1.13090               1                   1   43103C07
              -15               7               2              HB  1.13090               1                   1   43203C07
              -16               7               1              HB  1.13975               1                   1   43104007
              -16               7               2              HB  1.13975               1                   1   43204007
               -1               8               1              HB  1.14158               1                   1   43100408
               -2               8               1              HB  1.14108               1                   1   43100808
               -3               8               1              HB  1.14022               1                   1   43100C08
               -4               8               1              HB  1.13989               1                   1   43101008
               -5               8               1              HB  1.13868               1                   1   43101408
               -6               8               1              HB  1.13826               1                   1   43101808
               -7               8               1              HB  1.13653               1                   1   43101C08
               -8               8               1              HB  1.13632               1                   1   43102008
               -9               8               1              HB  1.13617               1                   1   43102408
